nServices=160;
nDrivers=120;
nBuses=160;
maxBuses=120;
startingTime=[279 124 128 275 112 8 208 346 284 89 269 96 224 121 106 133 187 293 165 346 90 306 190 221 52 2 167 175 105 25 239 37 170 133 349 314 100 128 224 271 164 97 156 227 114 52 325 61 46 108 312 107 348 163 228 167 158 178 229 116 231 159 295 314 33 258 12 94 228 112 284 302 200 81 11 235 205 50 12 35 41 348 335 26 61 286 253 142 47 319 150 346 237 65 175 150 220 290 315 238 248 175 269 249 313 19 18 205 171 254 327 214 13 3 92 133 164 108 244 184 52 165 147 206 294 177 281 157 167 171 350 29 6 184 90 72 69 71 9 285 330 297 329 197 334 345 154 219 175 319 180 258 262 236 95 156 324 183 174 160];
durationTime=[24 34 44 52 31 38 25 45 24 36 37 45 20 41 45 34 39 59 30 33 44 44 23 23 30 50 58 46 37 40 40 29 20 54 34 51 37 58 30 47 50 38 47 58 60 34 21 46 42 47 47 59 29 59 22 47 48 23 48 42 58 27 59 29 20 27 45 46 57 39 47 22 34 60 21 36 34 33 37 56 26 21 26 43 59 26 38 33 31 20 59 32 20 60 48 54 54 58 21 34 23 59 32 59 56 56 22 45 52 29 58 39 31 43 35 56 32 21 36 55 52 56 23 23 53 45 29 28 22 35 25 51 20 34 26 48 43 25 59 33 60 47 57 44 50 59 23 24 46 23 41 30 24 42 34 45 59 48 58 38];
durationDist=[17 3 17 5 2 3 4 13 16 7 18 14 10 8 17 5 9 3 12 4 3 10 7 17 9 14 17 14 15 12 12 8 5 2 20 13 18 7 13 10 9 5 14 5 20 14 11 15 19 11 18 10 13 3 13 19 15 8 10 10 9 10 9 5 14 14 11 20 9 10 16 4 18 10 10 17 7 11 5 9 8 5 5 11 17 18 15 9 2 15 18 13 8 6 10 8 8 11 14 11 11 6 11 18 9 20 4 12 19 9 7 11 19 14 9 3 5 6 15 11 7 15 20 5 5 10 3 15 11 18 20 20 4 20 14 2 2 17 19 7 9 11 11 20 13 10 20 12 18 15 10 3 10 12 4 13 5 8 20 3];
passengers=[33 39 13 37 14 18 18 12 49 9 17 32 21 2 3 32 45 14 2 26 45 22 19 37 12 6 39 31 16 23 35 22 48 16 22 9 9 26 35 9 6 5 32 6 24 38 47 24 43 45 19 48 13 16 38 33 20 5 44 21 11 50 30 17 24 45 39 38 20 45 22 29 20 24 21 37 18 9 33 23 48 18 12 26 16 3 43 3 4 16 48 36 40 7 47 16 26 48 3 31 34 32 38 20 34 21 9 14 25 46 10 35 24 11 6 5 48 38 50 7 18 45 11 21 26 7 35 33 44 18 7 5 48 39 11 41 47 37 21 30 36 6 12 29 37 42 9 20 35 40 3 10 40 21 27 45 7 14 22 50];
capacity=[16 47 37 13 45 42 41 11 53 14 12 16 36 27 40 58 60 37 57 50 54 43 15 43 31 50 39 53 44 56 54 15 45 42 36 25 47 13 35 22 50 18 44 54 18 49 29 31 11 16 36 35 25 44 32 28 34 20 20 27 33 28 12 35 30 16 49 38 53 20 27 18 25 14 59 31 42 12 26 24 16 35 59 30 12 31 22 40 50 35 18 58 51 34 58 60 37 28 24 19 28 23 29 31 27 23 56 50 15 11 25 14 52 43 47 17 54 29 51 33 21 48 53 38 31 11 23 57 58 39 15 49 28 17 54 41 26 15 12 15 30 25 57 41 41 28 58 26 53 44 13 48 28 46 45 34 24 14 31 15];
costTime=[1.36 1.74 1.47 1.6 1.16 1.78 1.21 1.73 1.18 1.34 1.25 1.79 1.05 1.86 1.61 1.93 1.89 1.34 1.23 1.14 1.16 1.9 1.7 2.0 1.2 1.37 1.24 1.17 1.77 1.01 1.52 1.7 1.18 1.92 1.87 1.99 1.62 1.23 1.71 1.45 1.13 1.17 1.04 1.76 1.58 1.85 1.7 1.8 1.31 1.98 1.55 1.07 1.05 1.94 1.24 1.17 1.06 1.21 1.4 1.52 1.45 1.99 1.63 1.59 1.87 1.85 1.21 1.37 1.83 1.84 1.6 1.79 1.9 1.71 1.32 1.73 1.08 1.9 1.37 1.61 1.35 1.29 1.22 1.03 1.34 1.03 1.32 1.65 1.06 1.72 1.02 1.39 1.23 1.29 1.41 1.02 1.65 1.8 1.13 1.21 1.91 1.91 1.3 1.53 1.72 1.7 1.85 1.56 1.63 1.24 1.17 1.15 1.89 1.96 1.45 1.98 1.53 1.15 1.18 1.0 1.56 1.86 1.91 1.34 1.09 1.15 1.28 1.91 1.59 1.6 1.56 1.13 1.02 1.01 1.67 1.49 1.01 1.5 1.45 1.55 1.34 1.86 1.55 1.07 1.53 1.13 1.79 1.74 1.31 1.83 1.31 1.43 1.36 1.54 1.45 1.12 1.88 1.97 1.7 1.47];
costDist=[3.76 3.6 2.57 3.46 2.96 3.35 4.94 2.63 4.29 2.72 4.58 4.82 2.2 4.37 4.27 4.9 4.93 3.79 3.28 3.55 3.45 4.36 4.23 4.62 2.33 3.76 4.1 3.01 2.89 4.65 4.99 2.08 3.89 3.81 2.98 4.81 3.93 3.16 3.5 2.18 2.4 2.53 2.48 3.07 3.84 2.04 3.1 3.21 3.8 3.89 3.57 2.41 2.29 4.36 2.13 4.69 2.5 2.96 2.18 4.45 4.02 2.24 4.86 4.01 2.02 3.67 4.79 2.44 4.12 2.2 2.78 4.16 2.63 3.63 3.54 4.14 2.35 3.25 3.75 4.17 3.51 3.08 4.55 2.12 4.12 3.36 4.54 4.93 3.0 3.56 4.84 2.05 3.96 4.63 3.08 3.16 3.72 4.92 2.01 2.1 2.32 4.4 4.94 3.54 2.49 2.6 4.02 4.73 4.53 3.86 3.39 2.54 3.51 4.66 2.15 3.59 4.41 3.11 4.28 4.9 2.29 3.32 4.72 4.23 2.4 2.59 2.11 4.25 2.19 3.66 3.67 3.8 3.83 3.13 3.89 2.65 4.91 4.86 2.56 3.42 4.31 3.21 3.23 2.51 4.24 2.52 4.74 3.78 4.42 3.2 2.64 4.21 4.58 3.29 2.67 2.78 3.79 2.37 2.74 4.82];
maxTime=[78 50 45 43 62 77 58 58 77 43 68 48 43 61 49 57 57 67 44 80 63 59 63 71 43 51 50 57 41 76 53 65 44 72 76 57 77 51 59 61 61 58 80 51 66 66 78 54 74 43 53 42 62 66 77 43 59 40 80 44 48 80 59 65 72 64 78 63 65 49 65 75 77 71 47 69 72 42 79 56 67 53 79 56 53 61 72 56 57 51 51 70 70 66 64 63 61 61 76 72 72 79 56 67 58 74 77 68 62 59 75 44 45 44 47 53 74 69 53 68];
costBM=[5.02 5.06 6.79 6.77 7.67 5.68 5.22 7.07 7.38 7.05 5.58 5.01 7.37 6.68 7.35 6.75 6.44 5.41 6.8 5.6 6.95 6.79 5.45 5.88 5.92 7.58 6.03 6.34 6.11 7.32 6.77 7.55 6.92 7.52 5.21 7.87 5.98 7.79 7.1 6.3 5.54 7.98 5.44 6.43 7.23 7.17 5.33 5.5 6.23 5.1 5.81 7.13 7.77 7.88 5.53 6.87 6.06 7.14 5.95 7.73 7.36 6.9 7.41 6.39 6.65 7.46 5.32 7.89 6.65 6.28 5.95 7.58 5.02 5.8 6.2 7.59 6.81 6.66 5.96 6.11 6.43 7.87 7.67 5.39 5.24 7.14 7.45 7.87 5.89 7.05 5.5 6.55 7.73 6.3 7.06 6.8 6.63 7.2 6.97 6.81 5.8 6.42 7.61 5.32 6.68 6.0 7.41 7.37 5.02 7.35 7.28 6.24 5.94 6.02 7.89 7.98 7.94 5.43 6.37 5.72];
costEM=[11.36 8.07 10.56 9.39 9.2 8.73 9.02 11.47 9.64 8.87 10.67 10.79 10.55 11.11 11.13 10.52 9.57 11.18 8.42 8.29 9.25 9.65 9.36 8.85 9.83 8.39 11.63 9.42 9.58 11.57 8.93 10.08 8.21 11.6 9.99 8.92 9.33 11.03 8.14 8.53 10.55 9.92 8.8 8.78 9.32 8.25 11.27 9.16 8.36 9.63 11.82 9.3 11.31 9.72 10.29 9.65 8.7 10.0 10.31 10.37 10.85 9.83 10.63 9.44 8.95 11.52 9.0 9.71 11.83 8.99 9.65 11.86 10.91 10.08 10.06 9.47 8.91 8.48 8.36 11.83 8.52 9.8 10.71 9.62 8.99 10.33 11.3 10.54 10.87 11.05 11.26 8.62 9.13 11.53 8.68 10.84 9.07 8.81 9.54 9.33 9.65 9.36 10.25 9.3 10.15 8.8 11.75 10.35 10.53 9.42 9.85 9.13 9.93 8.0 10.12 10.14 9.68 11.97 8.19 10.78];
BM=[28 31 35 22 27 30 28 33 29 30 27 24 28 32 31 24 29 26 40 28 37 31 21 37 32 22 22 39 32 29 20 25 31 38 27 30 27 34 25 31 39 25 33 32 21 22 40 30 28 35 38 20 30 25 28 23 26 38 26 24 27 38 35 37 22 28 22 36 40 21 34 31 30 26 31 36 40 39 25 25 29 20 21 38 28 27 32 36 39 39 28 28 20 36 29 20 27 26 31 31 38 30 22 40 30 21 21 34 27 33 37 21 32 21 31 27 24 36 38 27];
