nServices=20;
nDrivers=15;
nBuses=20;
maxBuses=15;
startingTime=[274 112 191 275 132 105 252 265 240 41 21 289 177 144 139 148 151 214 145 163];
durationTime=[50 38 52 47 30 50 30 58 34 41 60 36 30 29 32 33 36 39 54 52];
durationDist=[7 10 18 9 3 18 14 20 16 15 15 2 10 15 9 9 4 18 3 19];
passangers=[38 13 6 4 37 49 23 20 19 44 38 20 20 14 17 19 19 8 35 25];
capacity=[34 13 41 36 42 32 52 26 21 43 18 43 50 25 54 43 50 40 47 15];
costTime=[1.68 1.16 1.82 1.11 1.71 1.49 1.53 1.99 1.66 1.3 1.53 1.98 1.76 1.84 1.74 1.9 1.27 1.68 1.38 1.87];
costDist=[3.32 3.76 3.08 4.81 4.05 3.03 3.53 4.98 3.86 3.34 3.86 3.93 2.39 3.54 4.24 2.26 2.11 2.77 3.44 3.23];
maxTime=[75 59 59 56 53 49 52 79 63 47 44 75 71 73 42];
costBM=[6.69 6.97 6.83 5.44 7.23 7.01 6.97 6.29 5.2 5.52 7.67 7.56 7.23 5.69 6.85];
costEM=[9.01 9.48 9.2 10.36 9.21 11.65 9.56 11.21 10.8 11.66 10.24 11.5 9.03 9.89 10.1];
BM=[23 39 20 37 31 31 23 33 40 26 38 28 25 28 30];
