nServices=160;
nDrivers=120;
nBuses=160;
maxBuses=120;
startingTime=[231 133 150 20 124 162 121 141 283 212 85 161 235 273 259 309 146 345 130 254 199 241 114 70 151 314 180 252 117 70 253 156 283 150 81 96 94 195 345 155 58 84 179 305 63 8 180 268 55 293 36 25 2 112 346 336 323 286 116 80 186 219 65 173 59 339 350 10 284 251 68 95 329 95 244 293 8 65 170 239 262 195 61 50 6 172 54 184 271 265 31 75 86 340 113 122 12 101 219 52 206 22 264 305 214 42 124 92 309 260 39 244 74 98 347 45 212 128 222 228 44 30 298 5 114 96 232 261 37 173 229 173 222 227 303 79 204 194 69 119 127 198 87 253 190 301 147 238 207 159 35 189 241 319 124 157 100 15 342 153];
durationTime=[46 35 42 37 35 21 22 46 60 21 49 43 44 44 21 37 30 20 21 26 57 46 38 36 57 52 59 21 24 42 50 49 39 60 50 29 23 31 31 50 52 45 28 53 56 53 28 35 22 59 46 24 50 46 36 43 30 52 51 42 26 31 58 25 37 41 47 48 31 43 33 43 60 40 56 33 27 24 27 29 42 54 44 40 27 57 35 20 46 55 51 31 27 32 39 49 44 52 57 22 56 52 57 44 21 58 58 30 60 21 31 53 49 57 51 43 54 37 57 51 28 22 54 32 33 59 50 42 24 35 27 37 52 36 27 27 35 25 60 33 53 47 53 45 44 55 24 51 29 44 59 30 50 22 53 29 49 31 45 58];
durationDist=[2 19 13 6 9 2 13 19 5 20 6 8 5 12 14 13 8 11 16 18 20 16 2 2 8 15 9 5 10 5 3 20 8 13 8 17 11 19 20 11 11 17 18 7 7 16 2 11 8 12 9 12 19 13 15 11 19 11 8 20 3 6 9 13 13 2 20 13 4 15 7 12 4 10 4 12 2 15 10 5 11 12 2 13 2 7 19 7 12 18 11 20 12 12 3 19 8 15 12 14 8 17 12 11 19 6 18 20 19 18 3 7 20 3 12 2 19 17 19 3 3 20 15 17 7 10 18 11 13 5 18 17 11 14 20 4 15 11 20 6 8 18 6 15 10 7 4 12 9 18 17 13 16 4 8 17 3 15 5 8];
passengers=[20 4 49 44 33 5 12 28 8 19 26 21 33 10 11 41 14 24 17 14 50 44 35 35 26 33 9 24 30 13 30 46 47 10 9 34 43 13 42 9 25 34 13 15 19 4 9 35 5 4 33 36 16 9 27 3 2 14 23 15 12 40 26 25 22 23 9 33 46 15 25 27 32 4 4 22 33 35 3 50 29 26 2 3 29 38 32 21 7 15 28 15 48 16 24 22 3 32 45 22 4 25 45 24 46 6 10 34 28 24 48 6 29 26 36 23 46 10 13 48 43 2 25 46 20 9 12 15 42 15 26 49 16 25 44 42 50 25 47 35 47 31 48 44 49 48 44 7 2 34 38 23 28 30 20 36 42 5 33 39];
capacity=[12 31 16 20 38 53 56 34 25 29 14 36 35 26 25 19 37 60 24 23 26 39 31 16 51 22 23 35 25 60 49 52 31 27 31 42 42 53 26 31 59 32 37 22 46 21 55 56 53 50 35 56 12 35 17 31 44 30 55 57 29 20 40 41 37 27 13 14 59 11 45 32 44 21 13 35 12 43 28 57 38 53 46 26 15 60 32 24 54 34 10 22 14 54 28 29 57 18 12 52 31 40 30 55 57 11 57 19 33 17 23 50 16 55 53 21 57 59 15 32 14 21 38 13 20 32 57 34 60 41 43 21 35 42 16 36 19 16 51 52 49 31 34 36 32 47 23 31 41 36 49 13 23 45 57 38 10 37 30 26];
costTime=[1.62 1.32 1.29 1.34 1.24 1.94 1.66 1.79 1.22 1.24 1.75 1.86 1.43 1.79 1.21 1.27 1.44 1.87 1.2 1.13 1.86 1.54 1.78 1.52 1.38 1.27 1.72 1.36 1.45 1.85 1.35 1.2 1.49 1.01 1.34 1.1 1.13 1.39 1.4 1.94 1.78 1.69 1.38 1.27 1.66 1.72 1.29 1.1 1.15 1.85 1.6 1.87 1.22 1.05 1.1 1.99 1.96 1.54 1.67 1.89 1.8 1.36 1.11 1.49 1.8 1.67 1.19 1.96 1.45 1.07 1.76 1.27 1.43 1.59 1.99 1.6 1.65 1.42 1.22 1.32 1.04 2.0 1.67 1.36 1.97 1.72 1.97 1.41 1.34 1.11 1.24 1.28 1.31 1.39 1.42 1.95 1.14 1.21 1.86 1.58 1.42 1.83 1.65 1.89 1.66 1.58 1.59 1.11 1.86 1.63 1.77 1.23 1.98 1.22 1.62 1.46 1.31 1.79 1.01 2.0 1.91 1.53 1.58 1.78 1.53 1.8 1.82 1.16 1.21 1.79 1.26 1.39 1.86 1.32 1.3 1.14 1.24 1.81 1.76 1.82 1.92 1.48 1.91 1.43 1.62 1.95 1.08 1.84 1.37 1.55 1.99 1.05 1.23 1.83 1.26 1.33 1.38 1.68 1.68 1.45];
costDist=[3.56 4.83 3.89 3.42 3.56 4.65 2.77 3.93 4.76 4.23 3.82 4.89 4.68 3.81 4.03 3.19 4.95 3.92 4.67 2.81 4.18 3.21 2.03 4.89 2.51 2.93 2.93 2.01 2.67 2.9 2.96 3.4 2.64 4.66 3.34 3.47 3.64 3.56 3.07 3.99 4.88 2.79 3.83 4.41 2.75 3.15 3.16 4.6 2.37 3.67 3.94 4.94 3.81 2.3 3.42 4.28 4.74 3.71 3.44 4.25 2.89 4.07 3.45 2.72 3.03 3.5 2.67 2.79 4.09 4.24 3.62 2.59 3.9 4.99 4.54 3.08 2.81 2.47 2.94 3.82 2.97 2.98 2.11 3.48 4.07 2.98 4.16 2.74 4.72 4.83 3.93 2.4 2.47 3.65 4.7 4.8 4.32 2.88 4.56 2.54 2.25 3.46 3.26 4.79 3.36 3.12 4.91 3.77 4.62 3.99 2.71 3.79 3.91 4.85 2.3 4.87 4.49 2.99 4.04 4.82 4.83 4.35 4.57 2.5 3.31 3.3 4.95 3.39 3.73 2.6 3.88 3.56 3.45 2.34 4.06 3.38 2.14 4.47 2.07 4.78 3.72 4.01 4.36 2.74 4.91 3.64 2.24 3.09 3.42 2.7 3.5 2.53 2.71 3.63 4.07 4.7 2.82 3.46 3.93 4.02];
maxTime=[62 68 42 58 52 40 72 61 74 78 55 63 68 61 52 64 78 75 40 65 44 50 74 76 64 46 61 79 60 61 76 46 78 51 76 65 78 40 44 80 42 69 62 62 72 76 76 56 54 77 65 67 62 79 47 79 68 59 65 57 75 40 79 75 70 74 55 45 79 70 43 72 80 42 48 42 55 42 70 74 80 76 54 77 45 74 43 53 41 43 63 46 62 47 80 58 47 54 62 45 60 43 49 57 62 55 52 59 58 40 45 45 71 65 40 75 46 43 55 64];
costBM=[7.81 5.6 5.9 5.93 7.5 7.94 5.66 5.88 7.57 7.78 6.26 6.14 5.6 6.21 5.81 7.88 7.05 6.79 7.77 7.35 7.71 5.84 5.02 5.4 5.68 6.64 7.85 6.91 5.67 7.94 5.51 6.01 5.3 6.78 5.25 6.81 7.1 6.34 5.87 7.14 5.28 5.59 7.67 5.7 6.99 7.56 6.89 6.11 6.44 7.95 6.4 5.57 7.44 5.92 5.94 7.69 5.93 6.65 6.1 5.99 6.66 6.33 6.59 5.25 6.0 6.87 5.16 5.86 6.63 7.29 7.35 7.72 6.77 7.43 7.1 5.56 6.11 6.3 6.83 7.42 5.16 6.39 7.34 5.76 7.28 6.99 5.15 7.74 7.37 5.44 5.32 7.95 6.77 5.69 5.45 5.15 5.67 5.14 6.96 7.23 7.24 7.05 5.09 7.32 7.08 6.63 6.5 5.83 5.58 5.34 7.4 5.64 6.17 7.63 6.93 7.19 7.94 7.96 7.05 7.13];
costEM=[10.36 8.97 9.78 10.84 10.98 9.91 11.6 10.6 10.58 11.66 8.99 11.42 10.6 10.2 12.0 11.46 8.06 11.53 9.35 11.64 9.74 11.23 10.98 11.78 11.1 11.66 11.95 8.3 9.54 9.0 10.46 8.73 9.96 8.66 8.38 11.59 8.66 8.95 10.56 11.45 10.56 9.91 11.02 9.96 10.18 10.02 9.17 11.2 8.92 10.89 11.83 10.77 8.31 9.06 8.06 8.09 9.04 10.82 8.63 8.43 9.61 8.59 8.2 8.12 11.81 9.56 11.01 10.1 11.07 8.71 9.07 9.7 8.37 10.13 9.32 11.11 8.39 11.8 10.03 8.04 9.52 10.5 10.1 10.42 9.86 9.58 11.23 9.67 8.62 9.98 8.31 9.92 11.7 10.03 11.06 10.41 9.98 10.99 10.08 9.02 10.76 10.57 11.32 9.93 8.34 10.64 9.16 10.78 11.42 8.55 9.14 10.54 11.94 8.02 10.73 8.76 11.96 11.19 8.07 9.41];
