nServices=20;
nDrivers=15;
nBuses=20;
maxBuses=15;
startingTime=[23 116 182 299 74 104 0 69 46 24 150 0 215 249 289 93 211 262 270 248];
durationTime=[26 42 31 40 57 25 35 32 43 55 23 24 37 31 36 42 56 49 27 28];
durationDist=[8 4 8 2 10 2 11 20 14 19 13 19 3 17 5 11 7 3 18 18];
passengers=[32 15 46 10 30 34 14 25 6 20 15 30 20 50 46 37 46 41 7 13];
capacity=[51 21 19 18 15 40 57 27 32 38 18 50 33 23 55 56 45 55 35 38];
costTime=[1.94 1.06 1.03 1.13 1.51 1.72 1.33 1.28 1.38 1.44 1.99 1.37 1.47 1.11 1.11 1.46 1.75 1.45 1.05 1.63];
costDist=[2.48 2.6 3.65 3.38 4.93 2.37 2.94 4.55 2.91 3.66 2.86 4.6 3.36 4.59 3.59 2.94 3.9 3.39 2.59 4.06];
maxTime=[45 63 68 51 49 47 75 41 70 46 44 70 43 59 74];
costBM=[6.2 7.68 5.94 6.39 5.96 5.26 5.12 7.41 6.57 7.31 6.73 5.53 7.83 6.74 7.15];
costEM=[10.11 9.13 11.91 10.3 9.56 11.02 10.44 9.95 10.26 11.01 10.1 11.19 11.4 11.5 11.41];
BM=[37 39 30 35 29 39 38 39 26 21 37 39 20 25 22];
